OTU ID	Taxonomy	WINDMILL_farm-Control	WINDMILL_farm-Drought	Castle_Field_West_W-Control	Castle_Field_West_W-Drought	Jemma_6-Control	Jemma_6-Drought	Jemma_9-Control	Jemma_9-Drought	Lardon Chase-Control	Lardon Chase-Drought
bca2ee4f485d6e17ca79698101880e40	k_Fungi;p_Ascomycota;c_Saccharomycetes;o_Saccharomycetales;f_Metschnikowiaceae;g_Clavispora	14	73	0	0	0	0	0	0	7	3
bccca11035ec0254e2daaa775c6c9fe8	k_Fungi;p_Glomeromycota;c_Glomeromycetes;o_Glomerales;f_Glomeraceae;g_Glomus	0	10	0	0	0	0	0	0	0	0
be1ee2dc085f5c5a86cf770272f7fb87	k_Fungi;p_Ascomycota;c_Pezizomycotina_cls_Incertae_sedis;o_Pezizomycotina_ord_Incertae_sedis;f_Pezizomycotina_fam_Incertae_sedis;g_Triscelophorus	1	4	4	7	0	6	0	0	4	0
be6ace1197e17d9d1b3d9fb7d8d39d22	k_Fungi;p_Chytridiomycota;c_Rhizophydiomycetes;o_Rhizophydiales;f_Rhizophydiaceae;g_Rhizophydiaceae_gen_Incertae_sedis	0	24	0	0	0	0	0	0	0	0
be74eac161e8057a677b524f8494382c	k_Fungi;p_Ascomycota;c_Pezizomycetes;o_Pezizales;f_Ascobolaceae;g_Ascobolus	0	10	0	8	0	0	0	0	16	39
bed6fb6663cdbc5d770cdb92137fa70a	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Phaeosphaeriaceae;g_Sclerostagonospora	11	0	0	0	0	0	0	3	56	13
bede67a6c2b1ff262c1dfbdd5ac71bd5	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Phaeosphaeriaceae;g_Septoriella	0	0	0	55	13	0	0	0	0	0
bf126b97dc60dcabf486231755a0e883	k_Fungi;p_Ascomycota;c_Leotiomycetes;o_Helotiales;f_Leptodontidiaceae;g_Leptodontidium	0	0	0	0	0	0	0	0	6	0
bf3ac318717f70ff1139fe26d95e335f	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Nectriaceae;g_Sarcopodium	21	0	0	35	0	17	16	13	9	6
bfddddeaa5aea8a55a6f266767a4e865	k_Fungi;p_Ascomycota;c_Lecanoromycetes;o_Lecanorales;f_Lecanoraceae;g_Rhizoplaca	0	4	4	10	0	6	0	0	0	2
