OTU ID	WINDMILL_farm-Control	WINDMILL_farm-Drought	Castle_Field_West_W-Control	Castle_Field_West_W-Drought	Jemma_6-Control	Jemma_6-Drought	Jemma_9-Control	Jemma_9-Drought	Lardon Chase-Control	Lardon Chase-Drought	Kingdom	Phylum	Class	Order	Family	Genus	Species
49666b838337ef4553cc513fa364e83f	18	22	0	5	8	23	15	30	7	5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeriaceae_gen_Incertae_sedis	NA
4988612f0d48172c7785cec69b4f12ea	23	35	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Pezizellaceae	Hyalodendriella	NA
49ab3e593ec0955a91f66cfecb6819c5	13	7	0	0	0	7	0	0	191	201	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	NA
49b117a955ac6a4193c6414d74157b51	30	19	44	45	0	11	0	0	25	0	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	NA
4b5cfbc96c425acc45b6ce7077cff72b	12	0	0	6	62	100	0	0	7	16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Stanjemonium	NA
4b6e73a45e956a58bc4e7694e56a2a0a	0	26	0	0	0	0	7	0	0	4	Fungi	Basidiomycota	Cystobasidiomycetes	Sakaguchiales	Sakaguchiaceae	Sakaguchia	NA
4bfe433f48f73e43b61f3fac649b3279	94	76	716	720	162	102	197	189	538	349	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla	NA
4c42a5c472135fd31ab0d76e8d391f3e	0	0	17	0	0	0	0	0	23	7	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Zygopleurage	NA
4c79ccc4f8170d0b578c47c12b14fb36	17	38	0	9	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Bionectriaceae_gen_Incertae_sedis	NA
4ca9f8990eef01fcb47eb3e5bf58478f	0	1	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Lecanoromycetes	NA	NA	NA	NA
4d5e0de842218ad91b946627d6341bb7	0	0	0	0	0	10	7	0	0	0	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Steccherinum	NA
4ec63cd01d9d4bff6836796e135bb2d8	520	343	2025	1199	301	428	727	1478	1628	812	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
4f982847195ab67f4210df0afaf75069	646	771	315	771	308	246	332	244	282	73	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	NA
